X,Y,CROSSSTREET,FIXTURESTYLE_DESC,HOUSENO,LIGHTMANUFACTURER_DESC,LIGHTTYPE_DESC,NUMBERLIGHTS,OWNER_DESC,POLECOMPOSITION_DESC,POLEHEIGHT_DESC,POLETYPE_DESC,POWERFEED_DESC,QUADRANT_DESC,ROADCLASSIFICATION_DESC,STREETLIGHTID,STREETNAME,STREETSEGMID,TRAFFICCOMBO,WATTAGE1,WATTAGE2,WHATMODIFIED,OBJECTID
-77.05147051,38.9247937,WOODLEY RD,Incandescent Fixture,2638,General Electric,INC-Incandescent,1.0,Verizon,Wood,35 ft,Wood,Overhead,NW,Local,10219DC,WOODLEY PL,2122.0,NO,189.0,,,15028123
-77.03970008,38.93187882,17TH ST,Cobrahead Cutoff,1715,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,28 ft,5A,Underground,NW,Local,10310,LAMONT ST,10977.0,NO,70.0,,,15028124
-77.03527383,38.93706002,OGDEN ST,Incandescent Fixture,1525,General Electric,INC-Incandescent,1.0,DDOT,Steel,28 ft,5A,Underground,NW,Local,13834,SPRING PL,3278.0,NO,189.0,,,15028125
-77.04283662,38.9309949,19TH ST,Cobrahead Cutoff,1835,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,28 ft,5A,Underground,NW,Local,10373,KILBOURNE PL,1789.0,NO,70.0,,,15028126
-77.03503128,38.93637546,OGDEN ST,Incandescent Fixture,1510,General Electric,INC-Incandescent,1.0,DDOT,Steel,28 ft,5A,Underground,NW,Local,13849,SPRING PL,3278.0,NO,189.0,,,15028127
-77.02532551,38.92058639,BARRY PL,Teardrop,0,Spring City,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Minor Arterial,14136,SHERMAN AVE,969.0,YES,250.0,,"400H to 250H. Pole, arm, fixture, replaced.",15028128
-77.01469283,38.91758844,2ND ST,Posttop,0,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Cast Iron,16 ft,Upright,Underground,NW,Local,14186,ELM ST,11709.0,NO,250.0,,,15028161
-77.02260565,38.92555954,GIRARD ST,Posttop,2714,General Electric,HPS-High Pressure Sodium,2.0,DDOT,Cast Iron,20 ft,TW20,Underground,NW,Principal Arterial,13149,GEORGIA AVE,11358.0,NO,250.0,250.0,,15028162
-77.02245539,38.9245056,EUCLID ST,Posttop,2606,General Electric,HPS-High Pressure Sodium,2.0,DDOT,Cast Iron,20 ft,TW20,Underground,NW,Principal Arterial,13150,GEORGIA AVE,7530.0,NO,250.0,250.0,,15028163
-77.04478599,38.93141756,LAMONT ST,Posttop,3171,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Cast Iron,16 ft,Upright,Underground,NW,Local,10493,WALBRIDGE PL,2374.0,NO,250.0,,,15028164
